Rogue One, 8.1,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.", 2016,"Action,Adventure,Sci-Fi",133 min
Finding Dory, 7.5,The friendly but forgetful blue tang fish begins a search for her long, 2016,"Animation,Adventure,Comedy",97 min
Captain America: Civil War, 7.9,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man., 2016,"Action,Adventure,Sci-Fi",147 min
The Secret Life of Pets, 6.6,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.", 2016,"Animation,Adventure,Comedy",87 min
The Jungle Book, 7.5,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man", 2016,"Adventure,Drama,Family",106 min
Deadpool, 8.1,A fast, 2016,"Action,Adventure,Comedy",108 min
Zootopia, 8.1,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.", 2016,"Animation,Adventure,Comedy",108 min
Batman v Superman: Dawn of Justice, 6.7,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.", 2016,"Action,Adventure,Sci-Fi",151 min
Suicide Squad, 6.3,A secret government agency recruits some of the most dangerous incarcerated super, 2016,"Action,Adventure,Fantasy",123 min
Sing, 7.3,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.", 2016,"Animation,Comedy,Drama",108 min
Moana, 7.9,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.", 2016,"Animation,Adventure,Comedy",107 min
Fantastic Beasts and Where to Find Them, 7.7,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school., 2016,"Adventure,Family,Fantasy",133 min
Doctor Strange, 7.8,A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts., 2016,"Action,Adventure,Fantasy",115 min
Jason Bourne, 6.7,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past., 2016,"Action,Thriller",123 min
Star Trek Beyond, 7.1,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.", 2016,"Action,Adventure,Sci-Fi",122 min
X-Men: Apocalypse, 7.1,After the re, 2016,"Action,Adventure,Sci-Fi",144 min
Trolls, 6.5,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.", 2016,"Animation,Adventure,Comedy",92 min
Kung Fu Panda 3, 7.2,Continuing his , 2016,"Animation,Action,Adventure",95 min
Ghostbusters, 5.4,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.", 2016,"Action,Comedy,Fantasy",116 min
Central Intelligence, 6.4,"After he reconnects with an awkward pal from high school through Facebook, a mild", 2016,"Action,Comedy,Crime",107 min
The Legend of Tarzan, 6.3,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.", 2016,"Action,Adventure,Drama",110 min
Sully, 7.5,The story of , 2016,"Biography,Drama",96 min
Bad Moms, 6.2,When three overworked and under, 2016,Comedy,100 min
La La Land, 8.6,A jazz pianist falls for an aspiring actress in Los Angeles., 2016,"Comedy,Drama,Musical",128 min
Angry Birds, 6.3,"Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts ", 2016,"Animation,Action,Adventure",97 min
Hidden Figures, 7.9,The story of a team of African, 2016,"Biography,Drama,History",127 min
Independence Day: Resurgence, 5.3,"Two decades after the first Independence Day invasion, Earth is faced with a new extra", 2016,"Action,Adventure,Sci-Fi",120 min
The Conjuring 2, 7.5,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit., 2016,"Horror,Mystery,Thriller",134 min
Sausage Party, 6.3,A sausage strives to discover the truth about his existence., 2016,"Animation,Adventure,Comedy",89 min
Arrival, 8.2,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.", 2016,"Drama,Mystery,Sci-Fi",116 min
Passengers, 7.1,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.", 2016,"Adventure,Drama,Romance",116 min
The Magnificent Seven, 7,Seven gunmen in the old west gradually come together to help a poor village against savage thieves., 2016,"Action,Adventure,Western",133 min
Ride Along 2, 5.9,"As his wedding day approaches, Ben heads to Miami with his soon", 2016,"Action,Comedy",102 min
Don't Breathe, 7.2,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.", 2016,"Crime,Horror,Thriller",88 min
Miss Peregrine's Home for Peculiar Children, 6.8,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.", 2016,"Adventure,Drama,Family",127 min
