amin's,1,['The Last King of Scotland']
foul,4,"['Cabin Boy', 'Under Suspicion', 'The Bronze', 'The Heat']"
four,89,"['Men with Brooms', 'Couples Retreat', 'My Kid Could Paint That', 'The Brothers', 'Prem Ratan Dhan Payo', 'Set It Off', 'The Borrowers', 'Lazer Team', 'The Sisterhood of the Traveling Pants', 'The Afflicted', 'Kill Bill: Vol. 1', 'American Sniper', 'Four Rooms', 'Somewhere Between', 'The Watch', 'Double Dhamaal', 'This Christmas', 'The Conjuring 2', 'Bad Girls', 'Paparazzi', 'Juice', 'Miss March', 'Primer', 'Scary Movie 2', 'Judgment Night', 'The Virginity Hit', 'Spring Breakers', 'God Grew Tired of Us', 'Jersey Boys', 'The Covenant', 'Spare Parts', 'American Pie', 'Knafayim Shvurot', 'The Four Feathers', 'Cronos', 'Grind', 'The Crew', 'Extremedays', 'Housefull 2', 'La Ciudad (The City)', 'Erotique', 'Another Year', 'Orphans', 'Four Lions', 'ATL', 'Sleepover', 'Another Gay Movie', 'Take Me Home Tonight', 'B\xc3\xa9b\xc3\xa9(s)', 'Thoda Pyaar Thoda Magic', 'Arguing the World', 'Luminarias', 'Dhobi Ghat', 'The Original Kings of Comedy', 'Four Brothers', 'Road Trip', 'The Joy Luck Club', 'Think Like a Man', 'Love the Coopers', 'The Secret World of Arrietty', 'Intacto', 'Lantana', 'The 5th Wave', 'Saints and Soldiers', 'The Big Short', 'The Cement Garden', 'Being Human', 'Heart and Souls', 'Al di l\xc3\xa0 delle nuvole', 'Now You See Me 2', 'Now and Then', ""Brother's Keeper"", 'Why Did I Get Married Too?', 'Jack', 'Tales from the Hood', 'Timecode', 'Boys Life 2', 'The Safety of Objects', 'Ponette', 'Dear White People', 'More Than a Game', ""Keep on Keepin' On"", 'Four Christmases', 'Last Vegas', '28 Days Later...', 'Fantastic Four', 'Somm', 'Clockwatchers', 'Fantastic Four: Rise of the Silver Surfer']"
woods,6,"['Thumbelina', ""Pooh's Heffalump Movie"", 'Texas Chainsaw Massacre: The Next Generation', 'Wrong Turn', 'Antichrist', 'Cabin Fever']"
spiders,1,['Eight Legged Freaks']
friend's,7,"['Dans la maison', 'Envy', 'To Save a Life', 'Enough Said', 'The Wood', 'Perfect Stranger', 'The Dilemma']"
francesco,1,['Steam: The Turkish Bath']
woody,2,"['Three Seasons', 'Toy Story 2']"
childers,1,['Sling Blade']
comically,1,['Me You Them']
