raining,1,['Raining Stones']
yellow,2,"['The Yellow Handkerchief', 'Far from Home: The Adventures of Yellow Dog']"
four,10,"['Fantastic Four', 'Four Lions', 'Four Brothers', 'I Am Number Four', 'Four Days in September', 'The Four Feathers', 'Four Rooms', 'Four Weddings and a Funeral', 'Four Christmases', 'Amandla! A Revolution in Four Part Harmony']"
été,1,['Un \xc3\xa9t\xc3\xa9 inoubliable']
woods,3,"['The Cabin in the Woods', 'Into the Woods', 'A Walk in the Woods']"
friend's,2,"[""My Best Friend's Girl"", ""My Best Friend's Wedding""]"
cassandra's,1,"[""Cassandra's Dream""]"
conjuring,2,"['The Conjuring 2', 'The Conjuring']"
otra,1,['La otra conquista']
hostel:,1,['Hostel: Part II']
lore,1,['Lore']
hermano,1,['La mujer de mi hermano']
deli,1,['Deli Man']
oceans,1,['The Light Between Oceans']
hangin',1,"[""Hangin' with Mr. Cooper""]"
screaming,2,"['Kicking and Screaming', 'Kicking & Screaming']"
disturb,1,['Do Knot Disturb']
prize,1,"['The Prize Winner of Defiance, Ohio']"
circuitry,1,['Better Living Through Circuitry']
freetown,1,['Freetown']
gumby:,1,['Gumby: The Movie']
hitchcock/truffaut,1,['Hitchcock/Truffaut']
katwe,1,['Queen of Katwe']
"synecdoche,",1,"['Synecdoche, New York']"
tired,2,"['Dead Tired', 'God Grew Tired of Us']"
hanging,2,"['The Hanging Garden', 'Hanging Up']"
bacon,2,"['Canadian Bacon', 'Love Is the Devil: Study for a Portrait of Francis Bacon']"
pulse,1,['Pulse']
3-iron,1,['3-Iron']
second,6,"['The Second Chance', ""Cleopatra's Second Husband"", 'Split Second', 'Second Best', 'The Second Best Exotic Marigold Hotel', 'The Second Jungle Book: Mowgli & Baloo']"
valiant,1,['Valiant']
consenting,1,['Consenting Adults']
loathing,1,['Fear and Loathing in Las Vegas']
moonlight:,1,['Moonlight: Unfortunately a Love Story']
thunder,3,"['Tropic Thunder', 'A Sound of Thunder', 'Thunder Soul']"
kid:,2,"['Diary of a Wimpy Kid: Rodrick Rules', 'Diary of a Wimpy Kid: Dog Days']"
cooking,1,['El Bulli: Cooking in Progress']
y'aura,1,"[""Y'aura t'il de la neige \xc3\xa0 No\xc3\xabl?""]"
admiral,1,['The Admiral']
singham,2,"['Singham', 'Singham Returns']"
specialist,2,"['The Heart Specialist', 'The Specialist']"
tigers!,1,['Go Tigers!']
hero,10,"['Last Action Hero', 'My Father the Hero', ""One Man's Hero"", 'A Self-Made Hero', 'Hero', 'Main Tera Hero', 'Phata Poster Nikhla Hero', ""Everyone's Hero"", 'Big Hero 6', 'Jimmy Vestvood: Amerikan Hero']"
herb,1,['Herb & Dorothy']
dory,1,['Finding Dory']
here,8,"['Be Here to Love Me: A Film About Townes Van Zandt', 'Anywhere But Here', 'Here Comes the Boom', 'Wish I Was Here', ""I'm Still Here"", 'Here on Earth', ""We Don't Live Here Anymore"", 'Henry Poole Is Here']"
schultze,1,['Schultze Gets the Blues']
china,2,"['China Moon', 'Chandni Chowk to China']"
cadavra,1,['The Lost Skeleton of Cadavra']
norah's,1,"[""Nick and Norah's Infinite Playlist""]"
borrowers,1,['The Borrowers']
kids,11,"['Spy Kids 3-D: Game Over', 'Kids in America', ""Born Into Brothels: Calcutta's Red Light Kids"", 'The Kids Are All Right', 'Friends with Kids', 'Kids in the Hall: Brain Candy', 'Swing Kids', ""B\xc3\xa9b\xc3\xa9's Kids"", 'Kids', 'Spy Kids', 'Spy Kids 2: Island of Lost Dreams']"
climbed,1,['The 100 Year-Old Man Who Climbed Out the Window and Disappeared']
i'm,12,"[""I'm Not There."", ""Leonard Cohen: I'm Your Man"", ""I'm Not Scared"", ""Fellini: I'm a Born Liar"", ""I'll Sleep When I'm Dead"", ""I'm Not Rappaport"", ""I'm So Excited!"", ""Margaret Cho: I'm the One That I Want"", ""I'm Still Here"", ""I'm Not Ashamed"", ""But I'm a Cheerleader"", ""I'm in Love with a Church Girl""]"
golden,8,"['The Golden Bowl', 'Hellboy II: The Golden Army', 'The Golden Boys', 'The Golden Compass', 'Air Bud: Golden Receiver', 'The Golden Palace', 'Elizabeth: The Golden Age', 'Golden Gate']"
baran,1,['Baran']
maisie,1,['What Maisie Knew']
cyborg:,1,['American Cyborg: Steel Warrior']
sexual,1,['The Loss of Sexual Innocence']
geisha,1,['Memoirs of a Geisha']
joseon,1,['Seukaendeul - Joseon namnyeo sangyeoljisa']
cannibal,1,['Keep the River on Your Right: A Modern Cannibal Tale']
vampire's,1,"[""Cirque du Freak: The Vampire's Assistant""]"
files:,1,['The X Files: I Want to Believe']
music,7,"['The Music of Chance', 'Music and Lyrics', 'Music of the Heart', 'The Music of Strangers', 'Whale Music', 'The Saddest Music in the World', 'The Music Never Stopped']"
telegraph,1,['The Wild Parrots of Telegraph Hill']
passport,1,['Passport to Love']
strike,3,"['Police Story 4: First Strike', 'Atlas Shrugged II: The Strike', 'Jay and Silent Bob Strike Back']"
housefull,3,"['Housefull', 'Housefull 2', 'Housefull 3']"
until,1,['Until Forever']
holy,7,"['Holy Rollers', 'The Holy Land', 'Holy Matrimony', 'Holy for Me', 'Holy Man', 'Holy Smoke', 'The Holy Girl']"
gangstas,1,['Original Gangstas']
huntress,1,['The Eagle Huntress']
flubber,1,['Flubber']
hurt,1,['The Hurt Locker']
99,2,"['99 Homes', 'Article 99']"
glass,5,"['Alice Through the Looking Glass', 'The Glass Shield', 'Cyborg 2: Glass Shadow', 'Shattered Glass', 'The Glass House']"
9:,1,['Client 9: The Rise and Fall of Eliot Spitzer']
dukes,1,['The Dukes of Hazzard']
90,1,['90 Minutes in Heaven']
hole,1,['Rabbit Hole']
ducks,3,"['D3: The Mighty Ducks', 'The Mighty Ducks', 'D2: The Mighty Ducks']"
blade,3,"['Sling Blade', 'Blade', 'Blade II']"
m.s.,1,['M.S. Dhoni: The Untold Story']
exhale,1,['Waiting to Exhale']
masterminds,1,['Masterminds']
matilda,1,['Matilda']
moonrise,1,['Moonrise Kingdom']
triple,1,['Triple 9']
household,1,['Household Saints']
soeur,1,"['Nannerl, la soeur de Mozart']"
dragons,3,"['There Be Dragons', 'Dungeons & Dragons', 'Twin Dragons']"
caution,1,"['Lust, Caution']"
want,5,"['What Women Want', 'I Want Your Money', ""Margaret Cho: I'm the One That I Want"", ""I Don't Want to Talk About It"", 'The X Files: I Want to Believe']"
absolute,1,['Absolute Power']
sinbad:,1,['Sinbad: Legend of the Seven Seas']
travel,1,['Diana Vreeland: The Eye Has to Travel']
swades,1,['Swades']
fullmetal,1,['Fullmetal Alchemist: The Sacred Star of Milos']
machine,7,"['Hot Tub Time Machine', 'The Time Machine', 'Mean Machine', 'Machine Gun Preacher', 'Hot Tub Time Machine 2', 'Steve Jobs: The Man in the Machine', 'Ghost in the Machine']"
how,18,"['How to Train Your Dragon 2', ""I Don't Know How She Does It"", 'The Opposite Sex and How to Live with Them', 'How She Move', 'How to Be Single', 'How the Grinch Stole Christmas', 'How to Deal', 'How to Eat Fried Worms', 'How to Train Your Dragon', 'How to Lose Friends & Alienate People', 'How to Lose a Guy in 10 Days', 'How Do You Know', 'How to Make an American Quilt', 'How High', 'How U Like Me Now', 'How to Survive a Plague', 'How to Be a Player', 'How Stella Got Her Groove Back']"
hot,10,"['Hot Tub Time Machine', 'Wet Hot American Summer', 'Hot Rod', 'Chongqing Hot Pot', 'Hot Pursuit', 'Hot Tub Time Machine 2', 'Hot Shots! Part Deux', 'Mad Hot Ballroom', 'Hot Fuzz', 'The Hot Chick']"
hou,1,['Cheung gong 7 hou']
machina,1,['Ex Machina']
hop,1,['Hop']
winslow,1,['The Winslow Boy']
footloose,1,['Footloose']
julien,1,['Julien Donkey-Boy']
cabbie,1,['Dr. Cabbie']
beauty,8,"['The Beauty Academy of Kabul', 'Collateral Beauty', 'American Beauty', 'Black Beauty', 'Beauty Shop', 'Stage Beauty', 'Dangerous Beauty', 'Stealing Beauty']"
stravinsky,1,['Coco Chanel & Igor Stravinsky']
117:,1,"['OSS 117: Cairo, Nest of Spies']"
dinosaurs,2,"['Walking with Dinosaurs 3D', 'Ice Age: Dawn of the Dinosaurs']"
wrong,2,"['Mr. Wrong', 'Wrong Turn']"
zha,1,['Qing shao nian nuo zha']
vance,1,['The Legend of Bagger Vance']
i.r.t.,1,['Just Another Girl on the I.R.T.']
ho!,1,['Land Ho!']
revolt,1,['Youth in Revolt']
memento,1,['Memento']
cigarettes,3,"['Romance & Cigarettes', '200 Cigarettes', 'Coffee and Cigarettes']"
keeps,1,['Playing for Keeps']
democratic,1,"[""Hillary's America: The Secret History of the Democratic Party""]"
hellbent,1,['Hellbent']
wing,1,['Wing Commander']
wind,6,"['Wind', 'The Wind Will Carry Us', 'A Mighty Wind', 'A Wind from Wyoming', 'The Wind That Shakes the Barley', 'Bride of the Wind']"
