Title,Description,ReleaseDate
Rogue One,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.", 2016
Finding Dory,The friendly but forgetful blue tang fish begins a search for her long, 2016
Captain America: Civil War,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man., 2016
The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.", 2016
The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man", 2016
Deadpool,A fast, 2016
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.", 2016
Batman v Superman: Dawn of Justice,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.", 2016
Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super, 2016
Sing,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.", 2016
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.", 2016
Fantastic Beasts and Where to Find Them,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school., 2016
Doctor Strange,A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts., 2016
Jason Bourne,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past., 2016
Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.", 2016
X-Men: Apocalypse,After the re, 2016
Trolls,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.", 2016
Kung Fu Panda 3,Continuing his , 2016
Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.", 2016
Central Intelligence,"After he reconnects with an awkward pal from high school through Facebook, a mild", 2016
The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.", 2016
Sully,The story of , 2016
Bad Moms,When three overworked and under, 2016
La La Land,A jazz pianist falls for an aspiring actress in Los Angeles., 2016
Angry Birds,"Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts ", 2016
Hidden Figures,The story of a team of African, 2016
Independence Day: Resurgence,"Two decades after the first Independence Day invasion, Earth is faced with a new extra", 2016
The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit., 2016
Sausage Party,A sausage strives to discover the truth about his existence., 2016
Arrival,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.", 2016
Passengers,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.", 2016
The Magnificent Seven,Seven gunmen in the old west gradually come together to help a poor village against savage thieves., 2016
Ride Along 2,"As his wedding day approaches, Ben heads to Miami with his soon", 2016
Don't Breathe,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.", 2016
Miss Peregrine's Home for Peculiar Children,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.", 2016
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.", 2016
